Ngày,Đơn hàng,Doanh thu,Giảm giá,Doanh thu thuần,Vận chuyển,Giảm giá vận chuyển,Tổng hoá đơn,Đã thu,Hoàn trả,Tổng giá vốn,Tổng lợi nhuận,% lợi nhuận
01/02/2023,187,"89,265,500","-20,788,631","68,476,869","2,459,817",0,"70,936,686","66,382,186",0,"32,211,000","36,265,869",52.96%
02/02/2023,583,"263,626,950","-69,450,291","194,176,659","5,418,998",0,"199,595,657","196,501,657","-1,065,150","99,228,000","94,948,659",48.90%
03/02/2023,162,"83,696,500","-24,721,511","58,974,989","2,006,300",0,"60,981,289","56,175,789","-243,063","30,369,950","28,605,039",48.50%
04/02/2023,118,"54,838,200","-10,564,761","44,273,439","1,385,500",0,"45,658,939","44,199,439","-775,500","21,180,000","23,093,439",52.16%
05/02/2023,63,"28,718,000","-5,200,054","23,517,946","975,800",0,"24,493,746","22,094,746",0,"10,562,000","12,955,946",55.09%
06/02/2023,122,"63,444,300","-16,243,076","47,201,224","1,382,000",0,"48,583,224","46,644,724","-369,000","23,336,000","23,865,224",50.56%
07/02/2023,134,"59,819,700","-12,217,926","47,601,774","1,793,100",0,"49,394,874","46,905,874","-600,500","21,140,000","26,461,774",55.59%
08/02/2023,141,"66,654,500","-14,654,454","52,000,046","1,576,646",0,"53,576,692","50,131,692","-280,000","21,900,950","30,099,096",57.88%
09/02/2023,313,"139,543,800","-24,973,694","114,570,106","1,616,400",0,"116,186,506","113,002,506","-585,000","49,475,000","65,095,106",56.82%
10/02/2023,172,"85,252,300","-15,295,841","69,956,459","1,902,000",0,"71,858,459","67,678,459",0,"30,260,000","39,696,459",56.74%
11/02/2023,218,"98,511,700","-17,829,066","80,682,634","2,089,412",0,"82,772,046","78,513,046",0,"34,106,950","46,575,684",57.73%
12/02/2023,144,"66,166,500","-9,204,185","56,962,315","2,067,563",0,"59,029,878","56,520,878","-554,750","22,880,000","34,082,315",59.83%
13/02/2023,238,"106,382,600","-18,380,936","88,001,664","2,075,433",0,"90,077,097","86,408,297","-715,320","30,848,000","57,153,664",64.95%
14/02/2023,182,"85,066,650","-17,815,162","67,251,488","1,695,200",0,"68,946,688","65,546,688",0,"29,442,000","37,809,488",56.22%
15/02/2023,420,"183,631,489","-43,489,513","140,141,976","3,280,509",0,"143,422,485","141,229,485","-314,611","63,835,000","76,306,976",54.45%
16/02/2023,200,"86,622,815","-22,080,439","64,542,376","1,751,740",0,"66,294,116","62,877,116","-579,575","30,068,000","34,474,376",53.41%
17/02/2023,351,"145,037,268","-34,071,757","110,965,511","1,829,367",0,"112,794,878","110,475,878","-681,703","49,602,000","61,363,511",55.30%
18/02/2023,271,"111,391,300","-26,534,282","84,857,018","1,217,100",0,"86,074,118","82,727,118","-229,000","38,398,000","46,459,018",54.75%
19/02/2023,148,"66,702,000","-11,598,489","55,103,511","1,640,200",0,"56,743,711","54,222,711",0,"21,914,000","33,189,511",60.23%
20/02/2023,214,"90,675,900","-19,623,884","71,052,016","1,217,201",0,"72,269,217","70,200,217","-280,000","30,338,000","40,714,016",57.30%
21/02/2023,196,"82,077,000","-18,789,119","63,287,881","1,479,066",0,"64,766,947","63,479,947",0,"27,448,000","35,839,881",56.63%
22/02/2023,257,"108,464,000","-31,917,227","76,546,773","1,541,600",0,"78,088,373","77,373,373","-581,625","37,926,000","38,620,773",50.45%
23/02/2023,110,"50,827,400","-11,043,886","39,783,514","978,845",0,"40,762,359","39,252,859",0,"18,047,000","21,736,514",54.64%
24/02/2023,131,"60,050,000","-13,289,445","46,760,555","1,155,000",0,"47,915,555","47,373,055",0,"21,366,000","25,394,555",54.31%
25/02/2023,380,"158,158,822","-41,075,863","117,082,959","1,969,984",0,"119,052,943","116,576,143","-794,880","56,740,000","60,342,959",51.54%
26/02/2023,349,"141,178,812","-34,229,039","106,949,773","1,796,659",0,"108,746,432","105,861,932","-1,194,777","50,742,000","56,207,773",52.56%
27/02/2023,184,"85,666,390","-23,096,817","62,569,573","1,238,118",0,"63,807,691","62,679,691",0,"31,274,000","31,295,573",50.02%
28/02/2023,202,"86,385,000","-19,862,417","66,522,583","1,563,750",0,"68,086,333","67,647,333","-586,705","31,309,000","35,213,583",52.93%
