Ngày,Đơn hàng,Doanh thu,Giảm giá,Doanh thu thuần,Vận chuyển,Giảm giá vận chuyển,Tổng hoá đơn,Đã thu,Hoàn trả,Tổng giá vốn,Tổng lợi nhuận,% lợi nhuận
01/09/2023,190,"91,569,000","-26,586,179","64,982,821","815,950",0,"65,798,771","64,035,771",0,"29,354,000","35,628,821",54.83%
02/09/2023,117,"62,290,000","-20,984,293","41,305,707","1,018,548",0,"42,324,255","40,170,255",0,"18,535,000","22,770,707",55.13%
03/09/2023,154,"85,367,000","-29,100,563","56,266,437","1,250,828",0,"57,517,265","52,865,265",0,"26,712,000","29,554,437",52.53%
04/09/2023,245,"126,297,800","-41,894,432","84,403,368","2,157,659",0,"86,561,027","84,014,727","-558,467","38,820,000","45,583,368",54.01%
05/09/2023,133,"80,362,800","-19,772,685","60,590,115","1,446,400",0,"62,036,515","55,048,515",0,"25,443,000","35,147,115",58.01%
06/09/2023,262,"123,431,300","-43,616,980","79,814,320","2,595,900",0,"82,410,220","78,109,220",0,"34,774,000","45,040,320",56.43%
07/09/2023,203,"126,844,800","-53,570,060","73,274,740","2,221,001",0,"75,495,741","68,353,341",0,"38,350,784","34,923,956",47.66%
08/09/2023,254,"155,532,250","-59,915,656","95,616,594","2,281,159",0,"97,897,753","87,402,753",0,"42,034,784","53,581,810",56.04%
09/09/2023,"1,098","546,439,900","-194,490,806","351,949,094","5,761,876",0,"357,710,970","351,724,970","-610,984","168,897,568","183,051,526",52.01%
10/09/2023,204,"108,397,250","-36,328,463","72,068,787","1,570,677",0,"73,639,464","67,631,964","-417,825","33,489,000","38,579,787",53.53%
11/09/2023,287,"150,039,950","-57,304,715","92,735,235","2,316,900",0,"95,052,135","87,141,635","-375,750","43,370,000","49,365,235",53.23%
12/09/2023,238,"128,617,000","-53,256,361","75,360,639","2,590,663",0,"77,951,302","69,195,602","-243,000","34,868,000","40,492,639",53.73%
13/09/2023,258,"152,935,000","-70,881,776","82,053,224","2,627,800",0,"84,681,024","78,283,024",0,"39,155,000","42,898,224",52.28%
14/09/2023,191,"93,523,700","-32,427,873","61,095,827","1,892,700",0,"62,988,527","58,971,527","-417,243","29,477,000","31,618,827",51.75%
15/09/2023,317,"155,684,700","-58,366,372","97,318,328","2,108,750",0,"99,427,078","93,952,478",0,"45,629,000","51,689,328",53.11%
16/09/2023,177,"98,628,550","-40,244,725","58,383,825","1,756,139",0,"60,139,964","56,309,964","-255,000","27,064,000","31,319,825",53.64%
17/09/2023,181,"96,747,400","-38,275,463","58,471,937","1,902,909",0,"60,374,846","57,401,246",0,"29,996,000","28,475,937",48.70%
18/09/2023,244,"138,736,000","-55,411,550","83,324,450","2,413,835",0,"85,738,285","81,418,685",0,"39,812,000","43,512,450",52.22%
19/09/2023,148,"79,626,600","-27,595,902","52,030,698","1,233,698",0,"53,264,396","50,471,596","-254,472","23,254,000","28,776,698",55.31%
20/09/2023,178,"94,900,500","-33,993,360","60,907,140","1,705,580",0,"62,612,720","61,834,770","-283,580","28,508,000","32,399,140",53.19%
21/09/2023,181,"91,272,600","-36,959,144","54,313,456","1,888,300",0,"56,201,756","55,092,756",0,"27,693,000","26,620,456",49.01%
22/09/2023,209,"105,658,000","-37,198,232","68,459,768","1,407,650",0,"69,867,418","67,495,418","-509,736","33,106,000","35,353,768",51.64%
23/09/2023,186,"98,386,000","-36,148,361","62,237,639","1,734,789",0,"63,972,428","60,339,428","-269,100","29,800,000","32,437,639",52.12%
24/09/2023,135,"73,302,750","-26,254,140","47,048,610","805,325",0,"47,853,935","45,143,935",0,"22,598,000","24,450,610",51.97%
25/09/2023,358,"184,189,200","-65,621,291","118,567,909","2,114,050",0,"120,681,959","116,806,359","-256,352","55,347,000","63,220,909",53.32%
26/09/2023,206,"114,383,350","-40,980,288","73,403,062","1,425,950",0,"74,829,012","66,018,112",0,"32,820,000","40,583,062",55.29%
27/09/2023,218,"117,906,000","-47,301,331","70,604,669","1,418,936",0,"72,023,605","69,380,605",0,"35,370,000","35,234,669",49.90%
28/09/2023,153,"86,576,500","-29,015,663","57,560,837","1,095,820",0,"58,656,657","57,278,657",0,"26,265,000","31,295,837",54.37%
29/09/2023,220,"112,837,950","-36,269,057","76,568,893","1,328,550",0,"77,897,443","74,528,443","-294,550","34,263,000","42,305,893",55.25%
30/09/2023,177,"87,882,000","-36,692,795","51,189,205","985,500",0,"52,174,705","51,614,705",0,"25,446,000","25,743,205",50.29%
